year,day,hour,minute,bx,by,bz,row1,row2,row3,row4,row5,row6,row7,row8,row9,row10,row11,row12,row13,row14,row15,row16,row17,row18,row19,row20,row21,row22,row23,row24,row25,row26,row27,row28,row29,row30,row31,row32,row33,row34,row35,row36,row37,row38,row39,row40,row41,row42,row43,row44,row45,row46,row47,row48,row49,row50
2018,230,6,60,2.7667255666666675,3.397911783333334,-1.4122517099999996,,,,,,,,,,,,,,,,,224.952,151.765,250.9844333333334,253.80091666666667,242.43529999999998,297.4458333333333,359.17043333333356,448.9553,544.9298833333335,605.8992499999999,533.2879333333335,440.1086166666666,347.52518333333325,327.84364999999997,327.8166333333333,311.20535000000007,323.86078333333336,251.14401666666666,323.7541833333332,318.85975,349.1333666666668,,,,,,,,,,,,,
2018,230,7,60,1.619544018333333,3.645856499999999,-0.6417756933333335,,,,,,,,,,,,,,,,,252.5027058823529,188.19011764705886,260.5683833333333,264.7889666666666,259.86988333333335,324.6303,397.60333333333335,485.5195166666668,546.8347333333335,551.0047333333334,468.69161666666673,391.85314999999997,331.96345,329.44890000000004,330.63970000000006,309.24580000000003,327.1082666666667,257.2187666666668,328.92285,320.1972068965516,349.4395517241378,,,,,,,,,,,,,
2018,230,8,60,0.35120223000000006,1.9593763833333333,-0.03820609999999946,,,,,,,,,,,,,,,,,261.93219354838715,205.8188064516129,271.7856833333333,276.8366833333334,276.32308333333344,344.2071666666668,413.9474166666667,485.3948000000001,525.6255333333335,505.98255000000006,452.6241666666668,396.8279,342.7310833333333,337.6088333333333,333.03103333333337,301.5429999999999,328.3750166666666,262.46166666666664,333.1683333333334,322.33756521739144,353.07902173913044,,,,,,,,,,,,,
2018,230,9,60,-2.220203733333334,-1.0866132833333337,0.5275684666666663,,,,,,,,,,,,,,,,,268.083731707317,213.8506097560976,280.0591,284.31451666666675,287.07303333333334,366.48226666666676,446.6580666666667,507.68059999999986,522.1879499999999,483.4165166666666,445.34211666666664,399.90560000000016,351.8839666666667,346.35746666666665,335.1899166666666,291.26750000000004,327.62746666666675,263.54271666666665,333.09606666666673,316.0622500000001,347.600625,,,,,,,,,,,,,
2018,230,10,60,-4.236527833333332,-0.34050013499999987,-0.5965828465166667,,,,,,,,,,,,,,,238.77885714285713,212.72741176470595,271.30373333333335,216.91621666666666,297.7685333333333,305.95501666666667,327.43145,431.1654333333333,496.8806500000001,481.8076833333334,458.5846166666668,409.01681666666667,416.39559999999994,388.62331666666677,351.1201666666667,348.6527166666666,328.2025333333334,279.3771666666667,331.45636666666667,275.64549999999997,342.1668,,,,,,,,,,,,,,,
2018,230,11,60,-2.7188780166666655,1.7114510500000004,-0.8982169333333331,,,,,,,,,,,,,,,,185.911,256.59255,198.91295000000002,283.2756166666667,290.67214999999993,306.81018333333327,391.57853333333344,450.6969666666667,464.0550000000002,455.29373333333353,399.9407333333331,400.9524166666668,374.00533333333334,338.07626666666675,339.86791666666676,324.4562333333333,268.7096166666667,320.75995,263.72176666666667,335.0146833333334,325.21599999999995,358.20266666666663,,,,,,,,,,,,,
2018,230,12,60,-3.4608311666666665,1.8165188333333335,0.46348687166666663,,,,,,,,,,,,,,,,193.59761111111112,254.60511666666665,183.57165000000003,283.8179,297.32105000000007,326.7456333333333,423.48584999999997,485.4870833333334,482.9448333333334,439.5743333333334,343.6820333333334,358.36195000000004,344.9374000000001,321.6188333333333,332.1265833333334,317.9234166666667,265.4459166666667,318.59999999999997,260.68718333333334,329.3004893617022,,,,,,,,,,,,,,,
2018,230,13,60,-2.293763333333334,2.719718499999999,-0.8574837216666665,,,,,,,,,,,,,,223.56683333333334,232.46124999999998,206.28841509433965,273.73053333333337,217.5181666666667,310.96240000000006,337.5415,380.42209999999994,455.03423333333325,477.2912999999998,443.0369666666668,415.3798500000001,338.8474666666665,364.6108000000001,351.84235,322.99778333333325,318.8853166666667,312.0432666666667,277.9427833333333,331.80516666666665,273.59748888888885,339.7171599999999,400.968,,,,,,,,,,,,,,
2018,230,14,60,2.2208563966666675,1.9586384100000003,-2.666121666666666,,,,,,,,,,,,,,,188.286,168.4786,245.7740425531914,165.76307843137255,266.9272666666667,273.26565000000005,276.11331666666666,343.3589833333334,406.40153333333353,460.68568333333343,481.6459666666667,412.3480833333332,366.7729499999999,332.24368333333337,305.78848333333343,318.0161166666666,314.8927499999999,271.4893333333334,313.15554999999983,253.70523333333338,324.0737666666666,315.6908125,347.92490476190477,,,,,,,,,,,,,
2018,230,15,60,-1.5044281499999996,1.7513262833333332,-2.691357931666666,,,,,,,,,,,,,,213.7816,232.25486363636372,206.66303448275872,276.7833666666666,222.43183333333334,314.7635666666667,342.4689500000001,384.99891666666673,449.62646666666666,456.3850666666665,409.58186666666666,392.19901666666664,323.15110000000004,360.24143333333336,349.7559833333333,316.8258499999999,306.6570499999999,305.6422833333333,277.3034833333333,332.06088135593217,271.9040322580645,334.22599999999994,,,,,,,,,,,,,,,
