year,month,day,hour,minute,bx,by,bz,row1,row2,row3,row4,row5,row6,row7,row8,row9,row10,row11,row12,row13,row14,row15,row16,row17,row18,row19,row20,row21,row22,row23,row24,row25,row26,row27,row28,row29,row30,row31,row32,row33,row34,row35,row36,row37,row38,row39,row40,row41,row42,row43,row44,row45,row46,row47,row48,row49,row50
2017,2,14,3,60,-0.5118645783333333,-0.5113076333333333,-0.29818914333333335,,148.07041860465117,259.05514999999997,247.62623333333335,266.04161666666664,248.12838333333332,332.3048,613.3150833333333,947.2990833333333,911.4752333333333,515.3738,389.8155666666667,396.01393333333334,374.3206666666667,391.9792,378.1263666666666,417.9449666666667,339.52641666666665,405.03824999999995,398.06356666666665,364.81311999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,14,4,60,-0.5029163816666666,0.5871131666666667,0.7945248333333333,259.2420769230769,150.06561666666667,262.13661666666667,250.33248333333333,271.54699999999997,278.47591666666665,446.6401833333333,789.0938166666667,891.0396833333333,660.8840666666667,436.37981666666667,380.33824999999996,398.6505833333333,378.46836666666667,396.9173666666667,377.61350000000004,407.83716666666663,339.51481666666666,406.95661666666666,398.03314545454543,363.1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,14,5,60,-1.4434444666666666,0.6286444958333333,0.93447265,259.11928813559325,152.59985,263.77706666666666,251.94865,277.6583,312.76465,536.5006666666667,853.3018,798.3090333333333,512.4080333333334,403.22726666666665,378.00893333333335,400.87471666666664,383.34901666666667,400.3401333333333,364.3527,403.2429666666667,340.3088833333333,409.41981666666663,397.41491666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,14,6,60,-1.749555,1.2337644166666666,0.8384371333333333,258.28243333333336,152.09348333333335,262.9941166666666,251.0177666666667,276.5860666666667,315.10183333333333,556.1312166666667,880.1654333333333,771.8924833333333,456.7113,389.3990166666666,375.68176666666665,400.5570833333333,383.4976666666667,400.3802166666667,362.77015,402.1096833333333,340.4171333333333,410.6016166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,14,7,60,-1.6677643333333334,1.7371866666666667,1.0529593666666668,257.81256666666667,150.43716666666666,262.1316,249.62885,273.96981666666665,313.12326666666667,567.1400333333333,892.0611,764.6166666666667,449.61445,388.4846166666667,375.44618333333335,400.25468333333333,383.4492166666667,400.0891166666667,362.7283,402.1153333333333,340.50376666666665,410.0781833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,14,8,60,-1.6834551666666668,2.231011,0.83140715,258.0880172413793,151.98055000000002,262.7256,250.65823333333336,273.67081666666667,308.8724,559.9860166666666,899.7915333333333,776.8392,455.53783333333337,389.51325,375.9329333333333,400.8236,383.42086666666665,400.47999999999996,364.48903333333334,402.92561666666666,341.1410666666667,409.98723333333334,397.7356666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,14,9,60,-1.8815078333333333,2.277851566666667,0.3546813683333333,258.50100000000003,151.27766666666668,262.93148333333335,251.14246666666668,272.97746666666666,289.38883333333337,481.37964999999997,799.3572499999999,807.0985833333333,555.0283,420.19995,381.93833333333333,400.3287833333333,381.26373333333333,398.45706666666666,371.53673333333336,404.88151666666664,340.2572666666667,409.3945166666666,399.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,14,10,60,-1.49472292,0.5346821983333334,-0.778812045,260.5985593220339,155.11295,265.73063333333334,256.21621666666664,289.37941666666666,354.7626833333333,616.8463166666667,880.89785,717.3694333333333,431.86260000000004,393.95045,379.0959833333333,402.52973333333335,384.82554999999996,401.375,363.43174999999997,403.16006666666664,342.3161166666667,409.72521666666665,400.2836666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,14,11,60,-1.7579641666666668,0.9310644142666666,-0.24135852,260.9384324324324,153.43228333333334,265.39868333333334,256.74893333333335,286.6677,322.13395,514.1409833333333,788.9045166666667,770.0912166666666,513.7697333333333,405.84245,378.37805000000003,401.0212,382.5767666666667,399.66825,370.5213166666666,405.0068,341.3355833333334,409.43475,400.1525555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,14,12,60,-2.4121376666666667,1.1205601666666667,-0.22244229166666668,258.6368148148148,151.51931666666667,263.5741,252.22924999999998,273.62258333333335,282.0446166666667,447.48403333333334,745.0853333333333,797.8297833333332,562.4336000000001,418.21455,379.9438166666667,399.96864999999997,380.5747333333333,398.1947166666667,374.35086666666666,405.73518333333334,339.8997,409.36315,399.5278333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
